icd10, model, hcc, hcc_label
T63082A, v24, 59, Toxic effect of venom of other African and Asian snake, intentional self-harm, initial encounter
T63082S, v24, 59, Toxic effect of venom of other African and Asian snake, intentional self-harm, sequela
T63092A, v24, 59, Toxic effect of venom of other snake, intentional self-harm, initial encounter
T63092S, v24, 59, Toxic effect of venom of other snake, intentional self-harm, sequela
T63112A, v24, 59, Toxic effect of venom of gila monster, intentional self-harm, initial encounter
T63112S, v24, 59, Toxic effect of venom of gila monster, intentional self-harm, sequela
T63122A, v24, 59, Toxic effect of venom of other venomous lizard, intentional self-harm, initial encounter
T63122S, v24, 59, Toxic effect of venom of other venomous lizard, intentional self-harm, sequela
T63192A, v24, 59, Toxic effect of venom of other reptiles, intentional self-harm, initial encounter
T63192S, v24, 59, Toxic effect of venom of other reptiles, intentional self-harm, sequela
T632X2A, v24, 59, Toxic effect of venom of scorpion, intentional self-harm, initial encounter
T632X2S, v24, 59, Toxic effect of venom of scorpion, intentional self-harm, sequela
T63302A, v24, 59, Toxic effect of unspecified spider venom, intentional self-harm, initial encounter
T63302S, v24, 59, Toxic effect of unspecified spider venom, intentional self-harm, sequela
T63312A, v24, 59, Toxic effect of venom of black widow spider, intentional self-harm, initial encounter
T63312S, v24, 59, Toxic effect of venom of black widow spider, intentional self-harm, sequela
T63322A, v24, 59, Toxic effect of venom of tarantula, intentional self-harm, initial encounter
T63322S, v24, 59, Toxic effect of venom of tarantula, intentional self-harm, sequela
T63332A, v24, 59, Toxic effect of venom of brown recluse spider, intentional self-harm, initial encounter
T63332S, v24, 59, Toxic effect of venom of brown recluse spider, intentional self-harm, sequela
T63392A, v24, 59, Toxic effect of venom of other spider, intentional self-harm, initial encounter
T63392S, v24, 59, Toxic effect of venom of other spider, intentional self-harm, sequela
T63412A, v24, 59, Toxic effect of venom of centipedes and venomous millipedes, intentional self-harm, initial encounter
T63412S, v24, 59, Toxic effect of venom of centipedes and venomous millipedes, intentional self-harm, sequela
T63422A, v24, 59, Toxic effect of venom of ants, intentional self-harm, initial encounter
T63422S, v24, 59, Toxic effect of venom of ants, intentional self-harm, sequela
T63432A, v24, 59, Toxic effect of venom of caterpillars, intentional self-harm, initial encounter
T63432S, v24, 59, Toxic effect of venom of caterpillars, intentional self-harm, sequela
T63442A, v24, 59, Toxic effect of venom of bees, intentional self-harm, initial encounter
T63442S, v24, 59, Toxic effect of venom of bees, intentional self-harm, sequela
T63452A, v24, 59, Toxic effect of venom of hornets, intentional self-harm, initial encounter
T63452S, v24, 59, Toxic effect of venom of hornets, intentional self-harm, sequela
T63462A, v24, 59, Toxic effect of venom of wasps, intentional self-harm, initial encounter
T63462S, v24, 59, Toxic effect of venom of wasps, intentional self-harm, sequela
T63482A, v24, 59, Toxic effect of venom of other arthropod, intentional self-harm, initial encounter
T63482S, v24, 59, Toxic effect of venom of other arthropod, intentional self-harm, sequela
T63512A, v24, 59, Toxic effect of contact with stingray, intentional self-harm, initial encounter
T63512S, v24, 59, Toxic effect of contact with stingray, intentional self-harm, sequela
T63592A, v24, 59, Toxic effect of contact with other venomous fish, intentional self-harm, initial encounter
T63592S, v24, 59, Toxic effect of contact with other venomous fish, intentional self-harm, sequela
T63612A, v24, 59, Toxic effect of contact with Portuguese Man-o-war, intentional self-harm, initial encounter
T63612S, v24, 59, Toxic effect of contact with Portuguese Man-o-war, intentional self-harm, sequela
T63622A, v24, 59, Toxic effect of contact with other jellyfish, intentional self-harm, initial encounter
T63622S, v24, 59, Toxic effect of contact with other jellyfish, intentional self-harm, sequela
T63632A, v24, 59, Toxic effect of contact with sea anemone, intentional self-harm, initial encounter
T63632S, v24, 59, Toxic effect of contact with sea anemone, intentional self-harm, sequela
T63692A, v24, 59, Toxic effect of contact with other venomous marine animals, intentional self-harm, initial encounter
T63692S, v24, 59, Toxic effect of contact with other venomous marine animals, intentional self-harm, sequela
T63712A, v24, 59, Toxic effect of contact with venomous marine plant, intentional self-harm, initial encounter
T63712S, v24, 59, Toxic effect of contact with venomous marine plant, intentional self-harm, sequela
T63792A, v24, 59, Toxic effect of contact with other venomous plant, intentional self-harm, initial encounter
T63792S, v24, 59, Toxic effect of contact with other venomous plant, intentional self-harm, sequela
T63812A, v24, 59, Toxic effect of contact with venomous frog, intentional self-harm, initial encounter
T63812S, v24, 59, Toxic effect of contact with venomous frog, intentional self-harm, sequela
T63822A, v24, 59, Toxic effect of contact with venomous toad, intentional self-harm, initial encounter
T63822S, v24, 59, Toxic effect of contact with venomous toad, intentional self-harm, sequela
T63832A, v24, 59, Toxic effect of contact with other venomous amphibian, intentional self-harm, initial encounter
T63832S, v24, 59, Toxic effect of contact with other venomous amphibian, intentional self-harm, sequela
T63892A, v24, 59, Toxic effect of contact with other venomous animals, intentional self-harm, initial encounter
T63892S, v24, 59, Toxic effect of contact with other venomous animals, intentional self-harm, sequela
T6392XA, v24, 59, Toxic effect of contact with unspecified venomous animal, intentional self-harm, initial encounter
T6392XS, v24, 59, Toxic effect of contact with unspecified venomous animal, intentional self-harm, sequela
T6402XA, v24, 59, Toxic effect of aflatoxin, intentional self-harm, initial encounter
T6402XS, v24, 59, Toxic effect of aflatoxin, intentional self-harm, sequela
T6482XA, v24, 59, Toxic effect of other mycotoxin food contaminants, intentional self-harm, initial encounter
T6482XS, v24, 59, Toxic effect of other mycotoxin food contaminants, intentional self-harm, sequela
T650X2A, v24, 59, Toxic effect of cyanides, intentional self-harm, initial encounter
T650X2S, v24, 59, Toxic effect of cyanides, intentional self-harm, sequela
T651X2A, v24, 59, Toxic effect of strychnine and its salts, intentional self-harm, initial encounter
T651X2S, v24, 59, Toxic effect of strychnine and its salts, intentional self-harm, sequela
T65212A, v24, 59, Toxic effect of chewing tobacco, intentional self-harm, initial encounter
T65212S, v24, 59, Toxic effect of chewing tobacco, intentional self-harm, sequela
T65222A, v24, 59, Toxic effect of tobacco cigarettes, intentional self-harm, initial encounter
T65222S, v24, 59, Toxic effect of tobacco cigarettes, intentional self-harm, sequela
T65292A, v24, 59, Toxic effect of other tobacco and nicotine, intentional self-harm, initial encounter
T65292S, v24, 59, Toxic effect of other tobacco and nicotine, intentional self-harm, sequela
T653X2A, v24, 59, Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, intentional self-harm, initial encounter
T653X2S, v24, 59, Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, intentional self-harm, sequela
T654X2A, v24, 59, Toxic effect of carbon disulfide, intentional self-harm, initial encounter
T654X2S, v24, 59, Toxic effect of carbon disulfide, intentional self-harm, sequela
T655X2A, v24, 59, Toxic effect of nitroglycerin and other nitric acids and esters, intentional self-harm, initial encounter
T655X2S, v24, 59, Toxic effect of nitroglycerin and other nitric acids and esters, intentional self-harm, sequela
T656X2A, v24, 59, Toxic effect of paints and dyes, not elsewhere classified, intentional self-harm, initial encounter
T656X2S, v24, 59, Toxic effect of paints and dyes, not elsewhere classified, intentional self-harm, sequela
T65812A, v24, 59, Toxic effect of latex, intentional self-harm, initial encounter
T65812S, v24, 59, Toxic effect of latex, intentional self-harm, sequela
T65822A, v24, 59, Toxic effect of harmful algae and algae toxins, intentional self-harm, initial encounter
T65822S, v24, 59, Toxic effect of harmful algae and algae toxins, intentional self-harm, sequela
T65832A, v24, 59, Toxic effect of fiberglass, intentional self-harm, initial encounter
T65832S, v24, 59, Toxic effect of fiberglass, intentional self-harm, sequela
T65892A, v24, 59, Toxic effect of other specified substances, intentional self-harm, initial encounter
T65892S, v24, 59, Toxic effect of other specified substances, intentional self-harm, sequela
T6592XA, v24, 59, Toxic effect of unspecified substance, intentional self-harm, initial encounter
T6592XS, v24, 59, Toxic effect of unspecified substance, intentional self-harm, sequela
T71112A, v24, 59, Asphyxiation due to smothering under pillow, intentional self-harm, initial encounter
T71112S, v24, 59, Asphyxiation due to smothering under pillow, intentional self-harm, sequela
T71122A, v24, 59, Asphyxiation due to plastic bag, intentional self-harm, initial encounter
T71122S, v24, 59, Asphyxiation due to plastic bag, intentional self-harm, sequela
T71132A, v24, 59, Asphyxiation due to being trapped in bed linens, intentional self-harm, initial encounter
T71132S, v24, 59, Asphyxiation due to being trapped in bed linens, intentional self-harm, sequela
T71152A, v24, 59, Asphyxiation due to smothering in furniture, intentional self-harm, initial encounter
T71152S, v24, 59, Asphyxiation due to smothering in furniture, intentional self-harm, sequela
T71162A, v24, 59, Asphyxiation due to hanging, intentional self-harm, initial encounter
T71162S, v24, 59, Asphyxiation due to hanging, intentional self-harm, sequela
T71192A, v24, 59, Asphyxiation due to mechanical threat to breathing due to other causes, intentional self-harm, initial encounter
T71192S, v24, 59, Asphyxiation due to mechanical threat to breathing due to other causes, intentional self-harm, sequela
T71222A, v24, 59, Asphyxiation due to being trapped in a car trunk, intentional self-harm, initial encounter
T71222S, v24, 59, Asphyxiation due to being trapped in a car trunk, intentional self-harm, sequela
T71232A, v24, 59, Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, initial encounter
T71232S, v24, 59, Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, sequela
T790XXA, v24, 173, Air embolism (traumatic), initial encounter
T791XXA, v24, 173, Fat embolism (traumatic), initial encounter
T792XXA, v24, 173, Traumatic secondary and recurrent hemorrhage and seroma, initial encounter
T794XXA, v24, 173, Traumatic shock, initial encounter
T795XXA, v24, 173, Traumatic anuria, initial encounter
T796XXA, v24, 173, Traumatic ischemia of muscle, initial encounter
T797XXA, v24, 173, Traumatic subcutaneous emphysema, initial encounter
T798XXA, v24, 173, Other early complications of trauma, initial encounter
T799XXA, v24, 173, Unspecified early complication of trauma, initial encounter
T79A0XA, v24, 173, Compartment syndrome, unspecified, initial encounter
T79A11A, v24, 173, Traumatic compartment syndrome of right upper extremity, initial encounter
T79A12A, v24, 173, Traumatic compartment syndrome of left upper extremity, initial encounter
T79A19A, v24, 173, Traumatic compartment syndrome of unspecified upper extremity, initial encounter
T79A21A, v24, 173, Traumatic compartment syndrome of right lower extremity, initial encounter
T79A22A, v24, 173, Traumatic compartment syndrome of left lower extremity, initial encounter
T79A29A, v24, 173, Traumatic compartment syndrome of unspecified lower extremity, initial encounter
T79A3XA, v24, 173, Traumatic compartment syndrome of abdomen, initial encounter
T79A9XA, v24, 173, Traumatic compartment syndrome of other sites, initial encounter
T8111XA, v24, 84, Postprocedural cardiogenic shock, initial encounter
T8112XA, v24, 2, Postprocedural septic shock, initial encounter
T8144XA, v24, 2, Sepsis following a procedure, initial encounter
T81502A, v24, 134, Unspecified complication of foreign body accidentally left in body following kidney dialysis, initial encounter
T81502D, v24, 134, Unspecified complication of foreign body accidentally left in body following kidney dialysis, subsequent encounter
T81502S, v24, 134, Unspecified complication of foreign body accidentally left in body following kidney dialysis, sequela
T81512A, v24, 134, Adhesions due to foreign body accidentally left in body following kidney dialysis, initial encounter
T81512D, v24, 134, Adhesions due to foreign body accidentally left in body following kidney dialysis, subsequent encounter
T81512S, v24, 134, Adhesions due to foreign body accidentally left in body following kidney dialysis, sequela
T81522A, v24, 134, Obstruction due to foreign body accidentally left in body following kidney dialysis, initial encounter
T81522D, v24, 134, Obstruction due to foreign body accidentally left in body following kidney dialysis, subsequent encounter
T81522S, v24, 134, Obstruction due to foreign body accidentally left in body following kidney dialysis, sequela
T81532A, v24, 134, Perforation due to foreign body accidentally left in body following kidney dialysis, initial encounter
T81532D, v24, 134, Perforation due to foreign body accidentally left in body following kidney dialysis, subsequent encounter
T81532S, v24, 134, Perforation due to foreign body accidentally left in body following kidney dialysis, sequela
T81592A, v24, 134, Other complications of foreign body accidentally left in body following kidney dialysis, initial encounter
T81592D, v24, 134, Other complications of foreign body accidentally left in body following kidney dialysis, subsequent encounter
T81592S, v24, 134, Other complications of foreign body accidentally left in body following kidney dialysis, sequela
T82310A, v24, 176, Breakdown (mechanical) of aortic (bifurcation) graft (replacement), initial encounter
T82311A, v24, 176, Breakdown (mechanical) of carotid arterial graft (bypass), initial encounter
T82312A, v24, 176, Breakdown (mechanical) of femoral arterial graft (bypass), initial encounter
T82318A, v24, 176, Breakdown (mechanical) of other vascular grafts, initial encounter
T82319A, v24, 176, Breakdown (mechanical) of unspecified vascular grafts, initial encounter
T82320A, v24, 176, Displacement of aortic (bifurcation) graft (replacement), initial encounter
T82321A, v24, 176, Displacement of carotid arterial graft (bypass), initial encounter
T82322A, v24, 176, Displacement of femoral arterial graft (bypass), initial encounter
T82328A, v24, 176, Displacement of other vascular grafts, initial encounter
T82329A, v24, 176, Displacement of unspecified vascular grafts, initial encounter
T82330A, v24, 176, Leakage of aortic (bifurcation) graft (replacement), initial encounter
T82331A, v24, 176, Leakage of carotid arterial graft (bypass), initial encounter
T82332A, v24, 176, Leakage of femoral arterial graft (bypass), initial encounter
T82338A, v24, 176, Leakage of other vascular grafts, initial encounter
T82339A, v24, 176, Leakage of unspecified vascular graft, initial encounter
T82390A, v24, 176, Other mechanical complication of aortic (bifurcation) graft (replacement), initial encounter
T82391A, v24, 176, Other mechanical complication of carotid arterial graft (bypass), initial encounter
T82392A, v24, 176, Other mechanical complication of femoral arterial graft (bypass), initial encounter
T82398A, v24, 176, Other mechanical complication of other vascular grafts, initial encounter
T82399A, v24, 176, Other mechanical complication of unspecified vascular grafts, initial encounter
T8241XA, v24, 134, Breakdown (mechanical) of vascular dialysis catheter, initial encounter
T8241XD, v24, 134, Breakdown (mechanical) of vascular dialysis catheter, subsequent encounter
T8241XS, v24, 134, Breakdown (mechanical) of vascular dialysis catheter, sequela
T8242XA, v24, 134, Displacement of vascular dialysis catheter, initial encounter
T8242XD, v24, 134, Displacement of vascular dialysis catheter, subsequent encounter
T8242XS, v24, 134, Displacement of vascular dialysis catheter, sequela
T8243XA, v24, 134, Leakage of vascular dialysis catheter, initial encounter
T8243XD, v24, 134, Leakage of vascular dialysis catheter, subsequent encounter
T8243XS, v24, 134, Leakage of vascular dialysis catheter, sequela
T8249XA, v24, 134, Other complication of vascular dialysis catheter, initial encounter
T8249XD, v24, 134, Other complication of vascular dialysis catheter, subsequent encounter
T8249XS, v24, 134, Other complication of vascular dialysis catheter, sequela
T82510A, v24, 176, Breakdown (mechanical) of surgically created arteriovenous fistula, initial encounter
T82511A, v24, 176, Breakdown (mechanical) of surgically created arteriovenous shunt, initial encounter
T82513A, v24, 176, Breakdown (mechanical) of balloon (counterpulsation) device, initial encounter
T82514A, v24, 176, Breakdown (mechanical) of infusion catheter, initial encounter
T82515A, v24, 176, Breakdown (mechanical) of umbrella device, initial encounter
T82518A, v24, 176, Breakdown (mechanical) of other cardiac and vascular devices and implants, initial encounter
T82520A, v24, 176, Displacement of surgically created arteriovenous fistula, initial encounter
T82521A, v24, 176, Displacement of surgically created arteriovenous shunt, initial encounter
T82523A, v24, 176, Displacement of balloon (counterpulsation) device, initial encounter
T82524A, v24, 176, Displacement of infusion catheter, initial encounter
T82525A, v24, 176, Displacement of umbrella device, initial encounter
T82528A, v24, 176, Displacement of other cardiac and vascular devices and implants, initial encounter
T82530A, v24, 176, Leakage of surgically created arteriovenous fistula, initial encounter
T82531A, v24, 176, Leakage of surgically created arteriovenous shunt, initial encounter
T82533A, v24, 176, Leakage of balloon (counterpulsation) device, initial encounter
T82534A, v24, 176, Leakage of infusion catheter, initial encounter
T82535A, v24, 176, Leakage of umbrella device, initial encounter
T82538A, v24, 176, Leakage of other cardiac and vascular devices and implants, initial encounter
T82590A, v24, 176, Other mechanical complication of surgically created arteriovenous fistula, initial encounter
T82591A, v24, 176, Other mechanical complication of surgically created arteriovenous shunt, initial encounter
T82593A, v24, 176, Other mechanical complication of balloon (counterpulsation) device, initial encounter
T82594A, v24, 176, Other mechanical complication of infusion catheter, initial encounter
T82595A, v24, 176, Other mechanical complication of umbrella device, initial encounter
T82598A, v24, 176, Other mechanical complication of other cardiac and vascular devices and implants, initial encounter
T826XXA, v24, 176, Infection and inflammatory reaction due to cardiac valve prosthesis, initial encounter
T827XXA, v24, 176, Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts, initial encounter
T82818A, v24, 176, Embolism due to vascular prosthetic devices, implants and grafts, initial encounter
T82828A, v24, 176, Fibrosis due to vascular prosthetic devices, implants and grafts, initial encounter
T82838A, v24, 176, Hemorrhage due to vascular prosthetic devices, implants and grafts, initial encounter
T82848A, v24, 176, Pain due to vascular prosthetic devices, implants and grafts, initial encounter
T82856A, v24, 176, Stenosis of peripheral vascular stent, initial encounter
T82858A, v24, 176, Stenosis of other vascular prosthetic devices, implants and grafts, initial encounter
T82868A, v24, 176, Thrombosis due to vascular prosthetic devices, implants and grafts, initial encounter
T82898A, v24, 176, Other specified complication of vascular prosthetic devices, implants and grafts, initial encounter
T83010A, v24, 176, Breakdown (mechanical) of cystostomy catheter, initial encounter
T83011A, v24, 176, Breakdown (mechanical) of indwelling urethral catheter, initial encounter
T83012A, v24, 176, Breakdown (mechanical) of nephrostomy catheter, initial encounter
T83018A, v24, 176, Breakdown (mechanical) of other urinary catheter, initial encounter
T83020A, v24, 176, Displacement of cystostomy catheter, initial encounter
T83021A, v24, 176, Displacement of indwelling urethral catheter, initial encounter
T83022A, v24, 176, Displacement of nephrostomy catheter, initial encounter
T83028A, v24, 176, Displacement of other urinary catheter, initial encounter
T83030A, v24, 176, Leakage of cystostomy catheter, initial encounter
T83031A, v24, 176, Leakage of indwelling urethral catheter, initial encounter
T83032A, v24, 176, Leakage of nephrostomy catheter, initial encounter
T83038A, v24, 176, Leakage of other urinary catheter, initial encounter
T83090A, v24, 176, Other mechanical complication of cystostomy catheter, initial encounter
T83091A, v24, 176, Other mechanical complication of indwelling urethral catheter, initial encounter
T83092A, v24, 176, Other mechanical complication of nephrostomy catheter, initial encounter
T83098A, v24, 176, Other mechanical complication of other urinary catheter, initial encounter
T83110A, v24, 176, Breakdown (mechanical) of urinary electronic stimulator device, initial encounter
T83111A, v24, 176, Breakdown (mechanical) of implanted urinary sphincter, initial encounter
T83112A, v24, 176, Breakdown (mechanical) of indwelling ureteral stent, initial encounter
T83113A, v24, 176, Breakdown (mechanical) of other urinary stents, initial encounter
T83118A, v24, 176, Breakdown (mechanical) of other urinary devices and implants, initial encounter
T83120A, v24, 176, Displacement of urinary electronic stimulator device, initial encounter
T83121A, v24, 176, Displacement of implanted urinary sphincter, initial encounter
T83122A, v24, 176, Displacement of indwelling ureteral stent, initial encounter
T83123A, v24, 176, Displacement of other urinary stents, initial encounter
T83128A, v24, 176, Displacement of other urinary devices and implants, initial encounter
T83190A, v24, 176, Other mechanical complication of urinary electronic stimulator device, initial encounter
T83191A, v24, 176, Other mechanical complication of implanted urinary sphincter, initial encounter
T83192A, v24, 176, Other mechanical complication of indwelling ureteral stent, initial encounter
T83193A, v24, 176, Other mechanical complication of other urinary stent, initial encounter
T83198A, v24, 176, Other mechanical complication of other urinary devices and implants, initial encounter
T8321XA, v24, 176, Breakdown (mechanical) of graft of urinary organ, initial encounter
T8322XA, v24, 176, Displacement of graft of urinary organ, initial encounter
T8323XA, v24, 176, Leakage of graft of urinary organ, initial encounter
T8324XA, v24, 176, Erosion of graft of urinary organ, initial encounter
T8325XA, v24, 176, Exposure of graft of urinary organ, initial encounter
T8329XA, v24, 176, Other mechanical complication of graft of urinary organ, initial encounter
T83410A, v24, 176, Breakdown (mechanical) of implanted penile prosthesis, initial encounter
T83411A, v24, 176, Breakdown (mechanical) of implanted testicular prosthesis, initial encounter
T83418A, v24, 176, Breakdown (mechanical) of other prosthetic devices, implants and grafts of genital tract, initial encounter
T83420A, v24, 176, Displacement of implanted penile prosthesis, initial encounter
T83421A, v24, 176, Displacement of implanted testicular prosthesis, initial encounter
T83428A, v24, 176, Displacement of other prosthetic devices, implants and grafts of genital tract, initial encounter
T83490A, v24, 176, Other mechanical complication of implanted penile prosthesis, initial encounter
T83491A, v24, 176, Other mechanical complication of implanted testicular prosthesis, initial encounter
T83498A, v24, 176, Other mechanical complication of other prosthetic devices, implants and grafts of genital tract, initial encounter
T83510A, v24, 176, Infection and inflammatory reaction due to cystostomy catheter, initial encounter
T83511A, v24, 176, Infection and inflammatory reaction due to indwelling urethral catheter, initial encounter
T83512A, v24, 176, Infection and inflammatory reaction due to nephrostomy catheter, initial encounter
T83518A, v24, 176, Infection and inflammatory reaction due to other urinary catheter, initial encounter
T83590A, v24, 176, Infection and inflammatory reaction due to implanted urinary neurostimulation device, initial encounter
T83591A, v24, 176, Infection and inflammatory reaction due to implanted urinary sphincter, initial encounter
T83592A, v24, 176, Infection and inflammatory reaction due to indwelling ureteral stent, initial encounter
T83593A, v24, 176, Infection and inflammatory reaction due to other urinary stents, initial encounter
T83598A, v24, 176, Infection and inflammatory reaction due to other prosthetic device, implant and graft in urinary system, initial encounter
T8361XA, v24, 176, Infection and inflammatory reaction due to implanted penile prosthesis, initial encounter
T8362XA, v24, 176, Infection and inflammatory reaction due to implanted testicular prosthesis, initial encounter
T8369XA, v24, 176, Infection and inflammatory reaction due to other prosthetic device, implant and graft in genital tract, initial encounter
T83711A, v24, 176, Erosion of implanted vaginal mesh to surrounding organ or tissue, initial encounter
T83712A, v24, 176, Erosion of implanted urethral mesh to surrounding organ or tissue, initial encounter
T83713A, v24, 176, Erosion of implanted urethral bulking agent to surrounding organ or tissue, initial encounter
T83714A, v24, 176, Erosion of implanted ureteral bulking agent to surrounding organ or tissue, initial encounter
T83718A, v24, 176, Erosion of other implanted mesh to organ or tissue, initial encounter
T83719A, v24, 176, Erosion of other prosthetic materials to surrounding organ or tissue, initial encounter
T83721A, v24, 176, Exposure of implanted vaginal mesh into vagina, initial encounter
T83722A, v24, 176, Exposure of implanted urethral mesh into urethra, initial encounter
T83723A, v24, 176, Exposure of implanted urethral bulking agent into urethra, initial encounter
T83724A, v24, 176, Exposure of implanted ureteral bulking agent into ureter, initial encounter
T83728A, v24, 176, Exposure of other implanted mesh into organ or tissue, initial encounter
T83729A, v24, 176, Exposure of other prosthetic materials into organ or tissue, initial encounter
T8379XA, v24, 176, Other specified complications due to other genitourinary prosthetic materials, initial encounter
T8381XA, v24, 176, Embolism due to genitourinary prosthetic devices, implants and grafts, initial encounter
T8382XA, v24, 176, Fibrosis due to genitourinary prosthetic devices, implants and grafts, initial encounter
T8383XA, v24, 176, Hemorrhage due to genitourinary prosthetic devices, implants and grafts, initial encounter
T8384XA, v24, 176, Pain due to genitourinary prosthetic devices, implants and grafts, initial encounter
T8385XA, v24, 176, Stenosis due to genitourinary prosthetic devices, implants and grafts, initial encounter
T8386XA, v24, 176, Thrombosis due to genitourinary prosthetic devices, implants and grafts, initial encounter
T8389XA, v24, 176, Other specified complication of genitourinary prosthetic devices, implants and grafts, initial encounter
T839XXA, v24, 176, Unspecified complication of genitourinary prosthetic device, implant and graft, initial encounter
T84010A, v24, 176, Broken internal right hip prosthesis, initial encounter
T84011A, v24, 176, Broken internal left hip prosthesis, initial encounter
T84012A, v24, 176, Broken internal right knee prosthesis, initial encounter
T84013A, v24, 176, Broken internal left knee prosthesis, initial encounter
T84018A, v24, 176, Broken internal joint prosthesis, other site, initial encounter
T84019A, v24, 176, Broken internal joint prosthesis, unspecified site, initial encounter
T84020A, v24, 176, Dislocation of internal right hip prosthesis, initial encounter
T84021A, v24, 176, Dislocation of internal left hip prosthesis, initial encounter
T84022A, v24, 176, Instability of internal right knee prosthesis, initial encounter
T84023A, v24, 176, Instability of internal left knee prosthesis, initial encounter
T84028A, v24, 176, Dislocation of other internal joint prosthesis, initial encounter
T84029A, v24, 176, Dislocation of unspecified internal joint prosthesis, initial encounter
T84030A, v24, 176, Mechanical loosening of internal right hip prosthetic joint, initial encounter
T84031A, v24, 176, Mechanical loosening of internal left hip prosthetic joint, initial encounter
T84032A, v24, 176, Mechanical loosening of internal right knee prosthetic joint, initial encounter
T84033A, v24, 176, Mechanical loosening of internal left knee prosthetic joint, initial encounter
T84038A, v24, 176, Mechanical loosening of other internal prosthetic joint, initial encounter
T84039A, v24, 176, Mechanical loosening of unspecified internal prosthetic joint, initial encounter
T84050A, v24, 176, Periprosthetic osteolysis of internal prosthetic right hip joint, initial encounter
T84051A, v24, 176, Periprosthetic osteolysis of internal prosthetic left hip joint, initial encounter
T84052A, v24, 176, Periprosthetic osteolysis of internal prosthetic right knee joint, initial encounter
T84053A, v24, 176, Periprosthetic osteolysis of internal prosthetic left knee joint, initial encounter
T84058A, v24, 176, Periprosthetic osteolysis of other internal prosthetic joint, initial encounter
T84059A, v24, 176, Periprosthetic osteolysis of unspecified internal prosthetic joint, initial encounter
T84060A, v24, 176, Wear of articular bearing surface of internal prosthetic right hip joint, initial encounter
T84061A, v24, 176, Wear of articular bearing surface of internal prosthetic left hip joint, initial encounter
T84062A, v24, 176, Wear of articular bearing surface of internal prosthetic right knee joint, initial encounter
T84063A, v24, 176, Wear of articular bearing surface of internal prosthetic left knee joint, initial encounter
T84068A, v24, 176, Wear of articular bearing surface of other internal prosthetic joint, initial encounter
T84069A, v24, 176, Wear of articular bearing surface of unspecified internal prosthetic joint, initial encounter
T84090A, v24, 176, Other mechanical complication of internal right hip prosthesis, initial encounter
T84091A, v24, 176, Other mechanical complication of internal left hip prosthesis, initial encounter
T84092A, v24, 176, Other mechanical complication of internal right knee prosthesis, initial encounter
T84093A, v24, 176, Other mechanical complication of internal left knee prosthesis, initial encounter
T84098A, v24, 176, Other mechanical complication of other internal joint prosthesis, initial encounter
T84099A, v24, 176, Other mechanical complication of unspecified internal joint prosthesis, initial encounter
T84110A, v24, 176, Breakdown (mechanical) of internal fixation device of right humerus, initial encounter
T84111A, v24, 176, Breakdown (mechanical) of internal fixation device of left humerus, initial encounter
T84112A, v24, 176, Breakdown (mechanical) of internal fixation device of bone of right forearm, initial encounter
T84113A, v24, 176, Breakdown (mechanical) of internal fixation device of bone of left forearm, initial encounter
T84114A, v24, 176, Breakdown (mechanical) of internal fixation device of right femur, initial encounter
T84115A, v24, 176, Breakdown (mechanical) of internal fixation device of left femur, initial encounter
T84116A, v24, 176, Breakdown (mechanical) of internal fixation device of bone of right lower leg, initial encounter
T84117A, v24, 176, Breakdown (mechanical) of internal fixation device of bone of left lower leg, initial encounter
T84119A, v24, 176, Breakdown (mechanical) of internal fixation device of unspecified bone of limb, initial encounter
T84120A, v24, 176, Displacement of internal fixation device of right humerus, initial encounter
T84121A, v24, 176, Displacement of internal fixation device of left humerus, initial encounter
T84122A, v24, 176, Displacement of internal fixation device of bone of right forearm, initial encounter
T84123A, v24, 176, Displacement of internal fixation device of bone of left forearm, initial encounter
T84124A, v24, 176, Displacement of internal fixation device of right femur, initial encounter
T84125A, v24, 176, Displacement of internal fixation device of left femur, initial encounter
T84126A, v24, 176, Displacement of internal fixation device of bone of right lower leg, initial encounter
T84127A, v24, 176, Displacement of internal fixation device of bone of left lower leg, initial encounter
T84129A, v24, 176, Displacement of internal fixation device of unspecified bone of limb, initial encounter
T84190A, v24, 176, Other mechanical complication of internal fixation device of right humerus, initial encounter
T84191A, v24, 176, Other mechanical complication of internal fixation device of left humerus, initial encounter
T84192A, v24, 176, Other mechanical complication of internal fixation device of bone of right forearm, initial encounter
T84193A, v24, 176, Other mechanical complication of internal fixation device of bone of left forearm, initial encounter
T84194A, v24, 176, Other mechanical complication of internal fixation device of right femur, initial encounter
T84195A, v24, 176, Other mechanical complication of internal fixation device of left femur, initial encounter
T84196A, v24, 176, Other mechanical complication of internal fixation device of bone of right lower leg, initial encounter
T84197A, v24, 176, Other mechanical complication of internal fixation device of bone of left lower leg, initial encounter
T84199A, v24, 176, Other mechanical complication of internal fixation device of unspecified bone of limb, initial encounter
T84210A, v24, 176, Breakdown (mechanical) of internal fixation device of bones of hand and fingers, initial encounter
T84213A, v24, 176, Breakdown (mechanical) of internal fixation device of bones of foot and toes, initial encounter
